# File generated by CMD 3.2 (http://stev.oapd.inaf.it/cmd) on Wed May 15 22:32:38 CEST 2019
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: chabrier_lognormal_salpeter 
# Kind of output: isochrone tables
# Zini logAge Mini int_IMF  Mass   logL    logTe  logg  label 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 0.000 0.0900000036 1.2268934250    0.090 -0.461  3.4347  2.545    0 5.923 11.729 11.062 9.844 8.200 6.265 3.888 3.299 2.937
0.0152 0.000 0.1000000015 1.3127751350    0.100 -0.355  3.4390  2.501    0 5.658 11.391 10.732 9.534 7.907 5.982 3.625 3.019 2.675
0.0152 0.000 0.1200000122 1.4610745907    0.120 -0.147  3.4545  2.434    0 5.138 10.719 10.052 8.920 7.333 5.425 3.121 2.426 2.150
0.0152 0.000 0.1400000006 1.5848021507    0.140  0.073  3.4755  2.365    0 4.587 10.047 9.317 8.260 6.718 4.824 2.616 1.798 1.580
0.0152 0.000 0.1599999964 1.6895382404    0.160  0.252  3.4929  2.314    0 4.139 9.544 8.736 7.728 6.214 4.329 2.207 1.319 1.124
0.0152 0.000 0.2000000030 1.8572380543    0.200  0.541  3.5175  2.220    0 3.418 8.699 7.674 6.670 5.267 3.441 1.558 0.612 0.425
0.0152 0.000 0.2500000000 2.0129647255    0.250  0.816  3.5386  2.126    0 2.729 7.910 6.498 5.349 4.159 2.509 0.951 -0.011 -0.196
0.0152 0.000 0.3000000119 2.1294965744    0.300  1.021  3.5512  2.051    0 2.217 7.327 5.660 4.404 3.341 1.861 0.484 -0.465 -0.645
0.0152 0.000 0.3500000238 2.2197833061    0.350  1.174  3.5602  2.001    0 1.836 6.851 5.054 3.743 2.755 1.403 0.130 -0.802 -0.976
0.0152 0.000 0.4000000358 2.2915143967    0.400  1.322  3.5656  1.932    0 1.464 6.357 4.553 3.203 2.240 0.999 -0.225 -1.134 -1.308
0.0152 0.000 0.4500000477 2.3497259617    0.450  1.431  3.5704  1.893    0 1.191 5.989 4.170 2.791 1.852 0.699 -0.482 -1.374 -1.546
0.0152 0.000 0.5000000000 2.3977856636    0.500  1.538  3.5735  1.845    0 0.924 5.644 3.840 2.443 1.511 0.422 -0.739 -1.617 -1.789
0.0152 0.000 0.5500000119 2.4380378723    0.550  1.625  3.5763  1.810    0 0.707 5.362 3.567 2.154 1.231 0.196 -0.947 -1.813 -1.985
0.0152 0.000 0.6000000238 2.4721109867    0.600  1.702  3.5787  1.781    0 0.516 5.117 3.328 1.903 0.988 -0.003 -1.131 -1.987 -2.158
0.0152 0.000 0.6499999762 2.5013408661    0.650  1.783  3.5800  1.740    0 0.313 4.875 3.101 1.664 0.752 -0.207 -1.328 -2.176 -2.349
0.0152 0.000 0.7000000477 2.5265583992    0.700  1.850  3.5813  1.711    0 0.145 4.668 2.909 1.466 0.556 -0.377 -1.491 -2.332 -2.505
0.0152 0.000 0.7500000000 2.5485093594    0.750  2.260  3.5607  1.248    0 -0.880 4.031 2.361 0.888 -0.156 -1.292 -2.567 -3.433 -3.651
0.0152 0.000 0.8000000119 2.5677938461    0.800  2.317  3.5612  1.221    0 -1.023 3.900 2.211 0.730 -0.311 -1.439 -2.709 -3.573 -3.791
0.0152 0.000 0.8500000238 2.5848057270    0.850  2.366  3.5621  1.202    0 -1.144 3.780 2.074 0.585 -0.451 -1.565 -2.828 -3.689 -3.907
0.0152 0.000 0.9000000358 2.5998830795    0.900  2.416  3.5624  1.177    0 -1.270 3.667 1.945 0.450 -0.585 -1.692 -2.954 -3.813 -4.031
0.0152 0.000 0.9500000477 2.6133363247    0.950  2.465  3.5625  1.153    0 -1.392 3.561 1.825 0.324 -0.711 -1.815 -3.075 -3.933 -4.152
0.0152 0.000 1.0000000000 2.6254127026    1.000  2.500  3.5636  1.144    0 -1.481 3.463 1.713 0.205 -0.822 -1.909 -3.161 -4.015 -4.233
0.0152 0.000 1.0499999523 2.6362330914    1.050  2.545  3.5635  1.120    0 -1.593 3.369 1.608 0.095 -0.933 -2.021 -3.273 -4.127 -4.346
0.0152 0.000 1.1000000238 2.6459071636    1.100  2.584  3.5638  1.102    0 -1.690 3.281 1.508 -0.009 -1.037 -2.120 -3.370 -4.223 -4.442
0.0152 0.000 1.1499999762 2.6546003819    1.150  2.626  3.5635  1.079    0 -1.794 3.197 1.414 -0.107 -1.137 -2.223 -3.475 -4.328 -4.548
0.0152 0.000 1.2000000477 2.6624486446    1.200  2.656  3.5642  1.070    0 -1.870 3.118 1.324 -0.201 -1.227 -2.302 -3.549 -4.400 -4.619
0.0152 0.000 1.2500000000 2.6695642471    1.250  2.689  3.5645  1.056    0 -1.952 3.042 1.240 -0.290 -1.314 -2.385 -3.630 -4.479 -4.699
0.0152 0.000 1.2999999523 2.6760413647    1.300  2.726  3.5641  1.034    0 -2.045 2.970 1.159 -0.373 -1.401 -2.477 -3.725 -4.575 -4.795
0.0152 0.000 1.3500001431 2.6819584370    1.350  2.752  3.5647  1.027    0 -2.110 2.901 1.082 -0.455 -1.479 -2.545 -3.788 -4.636 -4.856
0.0152 0.000 1.4000000954 2.6873817444    1.401  2.781  3.5649  1.015    0 -2.181 2.835 1.008 -0.532 -1.555 -2.617 -3.859 -4.706 -4.926
0.0152 0.000 1.4500000477 2.6923685074    1.451  2.813  3.5646  0.997    0 -2.263 2.772 0.938 -0.605 -1.630 -2.697 -3.941 -4.788 -5.009
0.0152 0.000 1.5000000000 2.6969668865    1.500  2.840  3.5647  0.985    0 -2.330 2.712 0.870 -0.676 -1.701 -2.765 -4.008 -4.855 -5.076
0.0152 0.000 1.5499999523 2.7012188435    1.550  2.869  3.5645  0.969    0 -2.402 2.655 0.806 -0.743 -1.770 -2.837 -4.082 -4.928 -5.150
0.0152 0.000 1.6000000238 2.7051601410    1.600  2.897  3.5642  0.954    0 -2.473 2.600 0.745 -0.807 -1.836 -2.906 -4.154 -5.000 -5.222
0.0152 0.000 1.6500000954 2.7088222504    1.650  2.923  3.5641  0.941    0 -2.538 2.547 0.686 -0.869 -1.900 -2.971 -4.219 -5.065 -5.288
0.0152 0.000 1.7000000477 2.7122325897    1.700  2.944  3.5645  0.934    0 -2.590 2.495 0.628 -0.930 -1.959 -3.024 -4.270 -5.114 -5.337
0.0152 0.000 1.7500000000 2.7154150009    1.749  2.962  3.5650  0.931    0 -2.636 2.444 0.570 -0.990 -2.015 -3.073 -4.315 -5.158 -5.380
0.0152 0.000 1.7999999523 2.7183909416    1.799  2.989  3.5646  0.915    0 -2.702 2.396 0.517 -1.045 -2.074 -3.137 -4.382 -5.225 -5.449
0.0152 0.000 1.8500000238 2.7211785316    1.849  3.010  3.5647  0.906    0 -2.754 2.349 0.464 -1.100 -2.129 -3.190 -4.435 -5.277 -5.501
0.0152 0.000 1.9000000954 2.7237946987    1.900  3.031  3.5647  0.896    0 -2.808 2.304 0.414 -1.153 -2.182 -3.244 -4.488 -5.330 -5.554
0.0152 0.000 1.9500001669 2.7262537479    1.950  3.052  3.5647  0.887    0 -2.860 2.260 0.365 -1.204 -2.234 -3.296 -4.541 -5.382 -5.607
0.0152 0.000 2.0000000000 2.7285690308    2.001  3.074  3.5644  0.874    0 -2.916 2.218 0.319 -1.252 -2.284 -3.350 -4.598 -5.440 -5.665
0.0152 0.000 2.0499999523 2.7307522297    2.050  3.098  3.5639  0.859    0 -2.976 2.178 0.275 -1.298 -2.334 -3.407 -4.659 -5.502 -5.728
0.0152 0.000 2.0999999046 2.7328138351    2.100  3.117  3.5639  0.851    0 -3.023 2.137 0.230 -1.345 -2.382 -3.454 -4.706 -5.548 -5.775
0.0152 0.000 2.1500000954 2.7347631454    2.149  3.141  3.5632  0.834    0 -3.083 2.100 0.189 -1.387 -2.429 -3.511 -4.769 -5.611 -5.839
0.0152 0.000 2.2000000477 2.7366089821    2.199  3.158  3.5633  0.828    0 -3.125 2.061 0.146 -1.432 -2.474 -3.554 -4.810 -5.653 -5.880
0.0152 0.000 2.2500000000 2.7383584976    2.249  3.177  3.5631  0.818    0 -3.172 2.024 0.106 -1.474 -2.518 -3.600 -4.859 -5.701 -5.929
0.0152 0.000 2.2999999523 2.7400190830    2.299  3.196  3.5629  0.807    0 -3.220 1.988 0.066 -1.515 -2.561 -3.647 -4.908 -5.750 -5.979
0.0152 0.000 2.4000000954 2.7430980206    2.400  3.225  3.5633  0.799    0 -3.291 1.917 -0.014 -1.599 -2.642 -3.721 -4.978 -5.819 -6.047
0.0152 0.000 2.5999999046 2.7484302521    2.601  3.289  3.5630  0.769    0 -3.452 1.785 -0.159 -1.751 -2.797 -3.880 -5.139 -5.980 -6.210
0.0152 0.000 2.8000001907 2.7528791428    2.801  3.348  3.5627  0.740    0 -3.601 1.664 -0.293 -1.890 -2.940 -4.027 -5.290 -6.130 -6.361
0.0152 0.000 3.0000000000 2.7566392422    3.001  3.401  3.5625  0.716    0 -3.733 1.552 -0.415 -2.018 -3.070 -4.159 -5.423 -6.263 -6.495
0.0152 0.000 3.2000000477 2.7598533630    3.200  3.454  3.5621  0.690    0 -3.865 1.447 -0.531 -2.139 -3.195 -4.289 -5.556 -6.395 -6.629
0.0152 0.000 3.4000000954 2.7626278400    3.399  3.500  3.5620  0.669    0 -3.980 1.350 -0.638 -2.250 -3.308 -4.404 -5.672 -6.511 -6.745
0.0152 0.000 3.6000001431 2.7650437355    3.599  3.540  3.5622  0.655    0 -4.080 1.258 -0.740 -2.357 -3.414 -4.505 -5.772 -6.609 -6.844
0.0152 0.000 3.8000001907 2.7671635151    3.799  3.586  3.5616  0.630    0 -4.195 1.171 -0.835 -2.456 -3.518 -4.618 -5.889 -6.727 -6.963
0.0152 0.000 4.0000000000 2.7690365314    4.002  3.629  3.5611  0.608    0 -4.302 1.088 -0.925 -2.550 -3.616 -4.722 -5.998 -6.836 -7.073
0.0152 0.000 4.1999998093 2.7707016468    4.199  3.660  3.5615  0.599    0 -4.381 1.011 -1.010 -2.638 -3.703 -4.803 -6.075 -6.912 -7.150
0.0152 0.000 4.4000000954 2.7721905708    4.398  3.700  3.5610  0.578    0 -4.479 0.937 -1.092 -2.723 -3.792 -4.899 -6.175 -7.013 -7.251
