!  t (Gyr) =   0.0040
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
!-----------------------------------------------------------------------------------------------
 0.010  2053.   -3.27  3.91  0.184    1.000  10.87  10.15   9.65  
 0.015  2362.   -2.89  3.95  0.215    1.000   9.82   9.25   8.86  
 0.020  2535.   -2.61  3.92  0.257    1.000   9.17   8.62   8.25  
 0.030  2705.   -2.19  3.78  0.367    1.000   8.14   7.60   7.27  
 0.040  2785.   -1.95  3.72  0.457    1.000   7.55   7.02   6.70  
 0.050  2834.   -1.78  3.68  0.534    1.000   7.15   6.61   6.31  
 0.060  2875.   -1.68  3.69  0.582    1.000   6.92   6.37   6.08  
 0.070  2914.   -1.64  3.73  0.595    1.000   6.82   6.26   5.99  
 0.072  2921.   -1.63  3.74  0.601    1.000   6.79   6.23   5.96  
 0.075  2931.   -1.61  3.75  0.606    1.000   6.76   6.20   5.93  
 0.080  2946.   -1.58  3.75  0.625    1.000   6.68   6.11   5.84  
 0.090  2976.   -1.53  3.77  0.647    1.000   6.56   5.99   5.73  
 0.100  3013.   -1.55  3.86  0.614    1.000   6.64   6.06   5.80  
 0.110  3035.   -1.51  3.87  0.639    1.000   6.53   5.95   5.69  
 0.130  3075.   -1.42  3.88  0.688    1.000   6.34   5.74   5.49  
 0.150  3113.   -1.35  3.89  0.729    1.000   6.17   5.57   5.32  
 0.170  3145.   -1.27  3.88  0.782    1.000   5.99   5.37   5.13  
 0.200  3206.   -1.19  3.91  0.822    1.000   5.82   5.18   4.95  
 0.300  3389.   -0.95  3.94  0.969    1.000   5.30   4.61   4.39  
 0.400  3560.   -0.78  3.97  1.078    1.000   4.93   4.19   3.98  
 0.500  3704.   -0.63  4.00  1.173    0.995   4.63   3.86   3.66  
 0.600  3842.   -0.51  4.02  1.258    0.966   4.37   3.59   3.41  
 0.700  3976.   -0.40  4.03  1.334    0.836   4.14   3.37   3.20  
 0.800  4096.   -0.30  4.05  1.400    0.712   3.94   3.18   3.03  
 0.900  4212.   -0.22  4.06  1.465    0.718   3.75   3.03   2.88  
 1.000  4315.   -0.14  4.07  1.527    0.761   3.59   2.89   2.76  
 1.100  4417.   -0.06  4.07  1.601    0.826   3.41   2.75   2.62  
 1.200  4513.    0.02  4.07  1.669    0.879   3.25   2.62   2.50  
 1.300  4609.    0.09  4.07  1.740    0.922   3.09   2.50   2.38  
 1.400  4710.    0.16  4.07  1.815    0.952   2.94   2.37   2.26  
