!  t (Gyr) =   0.0300
!-----------------------------------------------------------------------------------------------
! M/Ms  Teff     L/Ls   g    R/Rs   Li/Li0    Mj     Mh     Mk
!-----------------------------------------------------------------------------------------------
 0.015  2139.   -3.26  4.15  0.171    1.000  10.77  10.11   9.67  
 0.020  2184.   -3.29  4.34  0.159    1.000  10.86  10.20   9.77  
 0.030  2448.   -3.05  4.47  0.167    1.000  10.20   9.66   9.30  
 0.040  2632.   -2.83  4.51  0.185    1.000   9.71   9.16   8.83  
 0.050  2755.   -2.68  4.53  0.200    1.000   9.38   8.82   8.50  
 0.060  2860.   -2.55  4.54  0.217    1.000   9.09   8.53   8.23  
 0.070  2925.   -2.45  4.55  0.233    1.000   8.87   8.31   8.01  
 0.072  2936.   -2.43  4.55  0.236    1.000   8.83   8.26   7.97  
 0.075  2952.   -2.40  4.55  0.241    1.000   8.76   8.20   7.91  
 0.080  2977.   -2.36  4.55  0.249    0.999   8.67   8.10   7.81  
 0.090  3020.   -2.28  4.55  0.264    0.997   8.49   7.92   7.64  
 0.100  3056.   -2.22  4.55  0.277    0.990   8.35   7.77   7.50  
 0.110  3089.   -2.16  4.56  0.289    0.973   8.22   7.64   7.37  
 0.130  3145.   -2.05  4.55  0.317    0.888   7.96   7.37   7.11  
 0.150  3193.   -1.96  4.55  0.342    0.653   7.75   7.16   6.90  
 0.170  3231.   -1.88  4.54  0.366    0.297   7.57   6.97   6.72  
 0.200  3279.   -1.78  4.54  0.398    0.008   7.34   6.73   6.48  
 0.300  3413.   -1.54  4.54  0.488    0.000   6.77   6.14   5.90  
 0.400  3508.   -1.36  4.54  0.564    0.000   6.38   5.74   5.50  
 0.500  3602.   -1.23  4.54  0.627    0.000   6.07   5.41   5.18  
 0.600  3739.   -1.08  4.54  0.692    0.000   5.74   5.06   4.85  
 0.700  3960.   -0.90  4.52  0.758    0.000   5.37   4.66   4.48  
 0.800  4320.   -0.66  4.50  0.834    0.005   4.89   4.21   4.07  
 0.900  4848.   -0.37  4.46  0.925    0.083   4.31   3.79   3.68  
 1.000  5520.   -0.03  4.39  1.053    0.307   3.68   3.31   3.24  
 1.100  5897.    0.07  4.44  1.045    0.575   3.53   3.23   3.17  
 1.200  6052.    0.19  4.41  1.133    0.770   3.30   3.03   2.96  
 1.300  6335.    0.38  4.33  1.287    0.880   2.92   2.69   2.63  
 1.400  6743.    0.56  4.29  1.400    0.938   2.60   2.43   2.37  
