# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Wed Jul  8 18:53:06 CEST 2020
# isochrones based on PARSEC release v1.2S
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: chabrier_lognormal_salpeter 
# Kind of output: isochrone tables
# Zin   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.0152 6.00000 0.0900000036 1.2268934250    0.090 -1.321  3.4419  3.433    0 8.073 14.065 13.058 11.721 10.122 8.227 6.070 5.496 5.125
0.0152 6.00000 0.1000000015 1.3127751350    0.100 -1.221  3.4494  3.408    0 7.822 13.617 12.631 11.310 9.760 7.905 5.828 5.248 4.892
0.0152 6.00000 0.1098617315 1.3894631863    0.110 -1.138  3.4554  3.390    0 7.615 13.267 12.291 10.984 9.472 7.647 5.629 5.040 4.699
0.0152 6.00000 0.1200000122 1.4610745907    0.120 -1.057  3.4612  3.371    0 7.413 12.938 11.971 10.679 9.199 7.401 5.436 4.837 4.509
0.0152 6.00000 0.1354001611 1.5582331419    0.135 -0.953  3.4689  3.350    0 7.152 12.533 11.569 10.299 8.858 7.090 5.186 4.568 4.259
0.0152 6.00000 0.1400000006 1.5848021507    0.140 -0.924  3.4710  3.344    0 7.081 12.426 11.463 10.198 8.767 7.006 5.119 4.495 4.191
0.0152 6.00000 0.1473688781 1.6253126860    0.147 -0.885  3.4742  3.340    0 6.982 12.278 11.310 10.052 8.636 6.888 5.026 4.393 4.096
0.0152 6.00000 0.1649024487 1.7128287554    0.165 -0.809  3.4809  3.340    0 6.793 11.992 11.013 9.765 8.381 6.660 4.851 4.198 3.916
0.0152 6.00000 0.1705176234 1.7384428978    0.170 -0.798  3.4826  3.350    0 6.765 11.944 10.956 9.707 8.330 6.620 4.827 4.170 3.891
0.0152 6.00000 0.1760640442 1.7627080679    0.176 -0.776  3.4849  3.351    0 6.710 11.863 10.867 9.618 8.252 6.553 4.778 4.114 3.839
